control,seed,regime,n,mean_effect,mean_normalized_effect,patched_success_rate
dummy_pair,17,head,406,0.0,nan,0.5
dummy_pair,17,low,1120,0.0,nan,0.5
none,17,head,312,12.476941229441227,3.4604914208168376,0.9935897435897436
none,17,low,1120,11.200956728841577,2.7103219482611127,0.95625
random_direction,17,head,312,0.002704325394752698,-0.004562217399713647,0.26282051282051283
random_direction,17,low,1120,0.002706467892442431,0.0014135094597864859,0.2794642857142857
red_blue,17,head,312,-0.0015524610494955992,nan,0.6987179487179487
red_blue,17,low,1120,0.005113005638122559,nan,0.8294642857142858
shuffled_label,17,head,312,-0.012620183137746958,0.5203149602309016,0.5192307692307693
shuffled_label,17,low,1120,-0.009207585773297706,0.5912206721018997,0.5241071428571429
